"","State_name","Year","Deaths","Population","Crude.Rate","Age_Adjusted_Rate","State"
"1","Alabama",2014,12461,4849377,257,224,"AL"
"2","Alabama",2015,12981,4858979,267.2,229.7,"AL"
"3","Alabama",2016,12832,4863300,263.9,222.5,"AL"
"4","Alabama",2013,12472,4833722,258,228.4,"AL"
"5","Alabama",2009,12021,4757938,252.7,238,"AL"
"6","Alabama",2010,12083,4779736,252.8,236,"AL"
"7","Alabama",2011,11942,4802740,248.6,228.7,"AL"
"8","Alabama",2012,12036,4822023,249.6,225.1,"AL"
"9","Alabama",1999,13419,4430141,302.9,303,"AL"
"10","Alabama",2000,13406,4447100,301.5,299.5,"AL"
"11","Alabama",2001,13207,4467634,295.6,292.7,"AL"
"12","Alabama",2002,13197,4480089,294.6,291.3,"AL"
"13","Alabama",2017,13110,4874747,268.9,223.2,"AL"
"14","Alabama",2004,12774,4530729,281.9,278.1,"AL"
"15","Alabama",2005,12869,4569805,281.6,274.5,"AL"
"16","Alabama",2006,12583,4628981,271.8,263,"AL"
"17","Alabama",2007,11926,4672840,255.2,244.9,"AL"
"18","Alabama",2008,12074,4718206,255.9,243.3,"AL"
"19","Alabama",2003,13150,4503491,292,288.5,"AL"
"20","Alaska",2004,589,659286,89.3,160.1,"AK"
"21","Alaska",2005,627,666946,94,166.1,"AK"
"22","Alaska",2006,645,675302,95.5,170.6,"AK"
"23","Alaska",2008,634,687455,92.2,150.1,"AK"
"24","Alaska",2009,714,698895,102.2,158.9,"AK"
"25","Alaska",2010,707,710231,99.5,151.5,"AK"
"26","Alaska",2007,613,680300,90.1,154.2,"AK"
"27","Alaska",1999,563,624779,90.1,198,"AK"
"28","Alaska",2000,607,626932,96.8,211.7,"AK"
"29","Alaska",2001,603,633714,95.2,189.1,"AK"
"30","Alaska",2002,567,642337,88.3,169.3,"AK"
"31","Alaska",2003,626,648414,96.5,185.5,"AK"
"32","Alaska",2015,846,738432,114.6,154.1,"AK"
"33","Alaska",2016,831,741894,112,141,"AK"
"34","Alaska",2017,814,739795,110,135,"AK"
"35","Alaska",2013,706,735132,96,135,"AK"
"36","Alaska",2014,782,736732,106.1,146.6,"AK"
"37","Alaska",2011,739,722718,102.3,149.6,"AK"
"38","Alaska",2012,708,731449,96.8,136.5,"AK"
"39","Arizona",2014,10805,6731484,160.5,136.4,"AZ"
"40","Arizona",2015,11458,6828065,167.8,138.8,"AZ"
"41","Arizona",2016,11957,6931071,172.5,138.9,"AZ"
"42","Arizona",2017,12398,7016270,176.7,141.9,"AZ"
"43","Arizona",2003,10887,5510364,197.6,202.2,"AZ"
"44","Arizona",2004,10539,5652404,186.5,190,"AZ"
"45","Arizona",2011,10662,6482505,164.5,150.3,"AZ"
"46","Arizona",2012,10689,6553255,163.1,145.5,"AZ"
"47","Arizona",2013,10755,6626624,162.3,141.1,"AZ"
"48","Arizona",1999,10800,5023823,215,223.1,"AZ"
"49","Arizona",2000,10584,5130632,206.3,214,"AZ"
"50","Arizona",2001,10588,5273477,200.8,207.3,"AZ"
"51","Arizona",2002,10852,5396255,201.1,207.9,"AZ"
"52","Arizona",2007,10302,6167681,167,166,"AZ"
"53","Arizona",2008,10385,6280362,165.4,162.3,"AZ"
"54","Arizona",2005,10966,5839077,187.8,189.8,"AZ"
"55","Arizona",2006,10607,6029141,175.9,176.5,"AZ"
"56","Arizona",2009,10273,6343154,162,155.7,"AZ"
"57","Arizona",2010,9954,6392017,155.7,146.7,"AZ"
"58","Arkansas",1999,8315,2651860,313.6,287.8,"AR"
"59","Arkansas",2000,8278,2673400,309.6,283.8,"AR"
"60","Arkansas",2007,7214,2848650,253.2,230.1,"AR"
"61","Arkansas",2008,7516,2874554,261.5,236.1,"AR"
"62","Arkansas",2009,7295,2896843,251.8,226.1,"AR"
"63","Arkansas",2010,7274,2915918,249.5,222.5,"AR"
"64","Arkansas",2011,7168,2937979,244,213.8,"AR"
"65","Arkansas",2012,7407,2949131,251.2,218.6,"AR"
